Date,Price,Open,High,Low,Volume,Chg%
2023-12-21,62257,62197,62417,62111,7000,0.17
2023-12-20,62151,62238,62332,62053,7000,-0.1
2023-12-19,62211,61960,62377,61850,7840,0.25
2023-12-18,62057,62587,62587,61714,6480,0.11
2023-12-15,61991,62232,62365,61880,8440,-0.38
2023-12-14,62229,61350,62625,61350,18880,2.03
2023-12-13,60992,60946,61125,60758,9060,0.01
2023-12-12,60984,60711,61400,60711,11020,0.0
2023-12-11,60986,61595,61636,60957,13740,-0.99
2023-12-08,61597,62385,62386,61525,15530,-1.11
2023-12-07,62290,62205,62578,62088,9880,0.03
2023-12-06,62269,62169,62419,62055,10640,-0.53
2023-12-05,62600,63303,63303,61941,80,0.48
2023-12-04,62302,64342,64344,62254,180,-0.91
2023-12-01,62876,62634,62993,62409,210,0.38
2023-11-30,62639,62609,62750,62365,360,0.27
2023-11-29,62470,62300,62676,62271,2620,0.1
2023-11-28,62409,61601,62512,61450,10550,1.38
2023-11-27,61557,61399,61685,61399,4380,0.33
2023-11-24,61352,61128,61388,61101,6850,0.42
2023-11-23,61093,60950,61223,60950,5060,0.05
2023-11-22,61065,61058,61360,60977,8380,-0.24
2023-11-21,61212,60738,61330,60738,14350,0.91
2023-11-20,60657,60678,60745,60375,8930,-0.03
2023-11-17,60678,60697,60957,60610,10030,0.04
2023-11-16,60654,60099,60800,60093,13330,0.89
2023-11-15,60120,59814,60400,59500,9310,0.06
2023-11-14,60083,59853,60344,59757,7860,0.4
2023-11-13,59844,59791,59915,59521,8340,0.1
2023-11-12,59785,59600,59800,59600,1090,0.15
2023-11-10,59697,60231,60247,59672,11820,-0.95
2023-11-09,60271,59959,60339,59801,11150,0.38
2023-11-08,60043,60401,60460,59979,11790,-0.53
2023-11-07,60365,60746,60746,60200,11600,-0.74
2023-11-06,60818,60851,60980,60750,7710,-0.02
2023-11-03,60829,60822,61590,60005,240,0.04
2023-11-02,60805,60828,60845,60666,190,0.08
2023-11-01,60757,60729,61478,60621,200,-0.2
2023-10-31,60879,61021,61688,60800,360,-0.32
2023-10-30,61077,60952,61280,60952,4350,0.21
2023-10-27,60952,60759,61056,60588,7890,0.36
2023-10-26,60735,60673,60880,60410,10480,0.14
2023-10-25,60652,60282,60680,60180,14340,0.5
2023-10-24,60351,60400,60401,59958,7290,-0.08
2023-10-23,60402,60100,60525,60100,10990,0.0
2023-10-20,60405,59978,60740,59935,17320,0.78
2023-10-19,59935,59600,59978,59481,12200,0.43
2023-10-18,59680,59127,59846,59127,16040,1.29
2023-10-17,58922,58850,59100,58700,7160,-0.12
2023-10-16,58993,58880,58993,58600,7880,0.0
2023-10-13,58993,57665,59019,57634,23770,2.4
2023-10-12,57613,57721,57900,57575,8260,-0.04
2023-10-11,57636,57387,57742,57340,8000,0.47
2023-10-10,57364,57320,57450,57230,7420,0.17
2023-10-09,57268,56720,57300,56720,9880,1.21
2023-10-06,56582,56486,56641,56160,11220,0.84
2023-10-05,56112,55913,56336,55913,320,-0.21
